Dataset,Site,DateTime,Variable,Value,Units,ShortName,SiteID,Type,State,Latitude,Longitude
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T00:00:00-07:00,Average power release,4812,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T01:00:00-07:00,Average power release,4810,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T02:00:00-07:00,Average power release,4810,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T03:00:00-07:00,Average power release,4810,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T04:00:00-07:00,Average power release,4810,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T05:00:00-07:00,Average power release,9500,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T06:00:00-07:00,Average power release,14379,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T07:00:00-07:00,Average power release,14379,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T08:00:00-07:00,Average power release,14379,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
DSET-7.RSET-MODELED2-HOURLY-2166,Lake Mohave,2017-11-16T09:00:00-07:00,Average power release,14379,CFS,mohave,ddmlc,Reservoir,AZ,-114.5858,35.2042
