Dataset,Site,DateTime,Variable,Value,Units,ShortName,SiteID,Type,State,Longitude,Latitude
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T00:00:00-07:00,Average gage height,246.8,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T01:00:00-07:00,Average gage height,246.6,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T02:00:00-07:00,Average gage height,246.48,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T03:00:00-07:00,Average gage height,246.43,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T04:00:00-07:00,Average gage height,246.41,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T05:00:00-07:00,Average gage height,246.44,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T06:00:00-07:00,Average gage height,246.49,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T07:00:00-07:00,Average gage height,246.57,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T08:00:00-07:00,Average gage height,246.68,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T09:00:00-07:00,Average gage height,246.83,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T10:00:00-07:00,Average gage height,247.02,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T11:00:00-07:00,Average gage height,247.22,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T12:00:00-07:00,Average gage height,247.42,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T13:00:00-07:00,Average gage height,247.58,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T14:00:00-07:00,Average gage height,247.71,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T15:00:00-07:00,Average gage height,247.77,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T16:00:00-07:00,Average gage height,247.79,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T17:00:00-07:00,Average gage height,247.75,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T18:00:00-07:00,Average gage height,247.68,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T19:00:00-07:00,Average gage height,247.59,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T20:00:00-07:00,Average gage height,247.5,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T21:00:00-07:00,Average gage height,247.39,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T22:00:00-07:00,Average gage height,247.27,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-10T23:00:00-07:00,Average gage height,247.17,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T00:00:00-07:00,Average gage height,247.09,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T01:00:00-07:00,Average gage height,247.05,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T02:00:00-07:00,Average gage height,247.04,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T03:00:00-07:00,Average gage height,247.06,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T04:00:00-07:00,Average gage height,247.1,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T05:00:00-07:00,Average gage height,247.2,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T06:00:00-07:00,Average gage height,247.36,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T07:00:00-07:00,Average gage height,247.58,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T08:00:00-07:00,Average gage height,247.85,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T09:00:00-07:00,Average gage height,248.14,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T10:00:00-07:00,Average gage height,248.41,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T11:00:00-07:00,Average gage height,248.65,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T12:00:00-07:00,Average gage height,248.84,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
DSET-71.RSET-OBSERVED-HOURLY-20181,COLORADO RIVER BELOW INTERSTATE BRIDGE,2017-11-11T13:00:00-07:00,Average gage height,248.96,FEET,bridge,biblc,Stream gage,AZ,-114.5497,33.6006
